recordId,academicYear,title,type,status,ucas,requirements,summary,info,entryRequirementsUrl,url,lastReviewed
2026-chemistrywithmedicinalchemistrywithintegratedmasters-FY,2026,Chemistry with Medicinal Chemistry with Integrated Master's with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemistrywithmedicinalchemistrywithintegratedmasters/#foundationyear,2026-06-22
2026-H200-UG,2026,Civil Engineering,Undergraduate,Vacancies,H200,64 UCAS tariff points,BEng,This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/civilengineering/,2026-06-22
2026-civilengineering-FY,2026,Civil Engineering with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/civilengineering/#foundationyear,2026-06-22
2026-H201-UG,2026,Civil Engineering with Integrated Master's,Undergraduate,Vacancies,H201,64 UCAS tariff points,MEng,This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/civilengineeringwithintegratedmasters/,2026-06-22
2026-civilengineeringwithintegratedmasters-FY,2026,Civil Engineering with Integrated Master's with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/civilengineeringwithintegratedmasters/#foundationyear,2026-06-22
2026-G400-UG,2026,Computer Science,Undergraduate,Vacancies,G400,64 UCAS tariff points,BSc (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/computerscience/,2026-06-22
2026-GG14-UG,2026,Computer Science and Mathematics,Undergraduate,Vacancies,GG14,64 UCAS tariff points,BSc (Hons),This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/computerscienceandmathematics/,2026-06-22
2026-computerscienceandmathematics-FY,2026,Computer Science and Mathematics with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/computerscienceandmathematics/#foundationyear,2026-06-22
2026-GWK4-UG,2026,Computer Science and Music Production,Undergraduate,Vacancies,GWK4,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/computerscienceandmusicproduction/,2026-06-22
2026-computerscienceandmusicproduction-FY,2026,Computer Science and Music Production with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/computerscienceandmusicproduction/#foundationyear,2026-06-22
2026-computerscienceartificialintelligence-UG,2026,Computer Science with Artificial Intelligence,Undergraduate,Vacancies,,64 UCAS tariff points,BSc (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/computerscienceartificialintelligence/,2026-06-22
2026-computersciencewithartificialintelligence-FY,2026,Computer Science with Artificial Intelligence with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/computersciencewithartificialintelligence/#foundationyear,2026-06-22
2026-computersciencedigitalforensics-UG,2026,Computer Science with Digital Forensics,Undergraduate,Vacancies,,64 UCAS tariff points,BSc (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/computersciencedigitalforensics/,2026-06-22
2026-computersciencewithdigitalforensics-FY,2026,Computer Science with Digital Forensics with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/computersciencewithdigitalforensics/#foundationyear,2026-06-22
2026-computerscience-FY,2026,Computer Science with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/computerscience/#foundationyear,2026-06-22
2026-G402-UG,2026,Computer Science with Integrated Master's,Undergraduate,Vacancies,G402,64 UCAS tariff points,MCOMP,Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/computersciencewithintegratedmasters/,2026-06-22
2026-computersciencewithintegratedmasters-FY,2026,Computer Science with Integrated Master's with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/computersciencewithintegratedmasters/#foundationyear,2026-06-22
2026-computersciencesoftwareengineering-UG,2026,Computer Science with Software Engineering,Undergraduate,Vacancies,,64 UCAS tariff points,BSc (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/computersciencesoftwareengineering/,2026-06-22
2026-computersciencewithsoftwareengineering-FY,2026,Computer Science with Software Engineering with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/computersciencewithsoftwareengineering/#foundationyear,2026-06-22
2026-G406-UG,2026,Computing Top-up,Undergraduate,Vacancies,G406,Pass HND,BSc (Hons),This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/computing-top-up/,2026-06-22
2026-W800-UG,2026,Creative Writing,Undergraduate,Vacancies,W800,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/creativewriting/,2026-06-22
2026-creativewriting-FY,2026,Creative Writing with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/creativewriting/#foundationyear,2026-06-22
2026-L611-UG,2026,Criminology,Undergraduate,Vacancies,L611,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/criminology/,2026-06-22
2026-L612-UG,2026,Criminology and Criminal Justice,Undergraduate,Vacancies,L612,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/criminologyandcriminaljustice/,2026-06-22
2026-criminologyandcriminaljustice-FY,2026,Criminology and Criminal Justice with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/criminologyandcriminaljustice/#foundationyear,2026-06-22
2026-MXV1-UG,2026,Criminology and History,Undergraduate,Vacancies,MXV1,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/criminologyandhistory/,2026-06-22
2026-criminologyandhistory-FY,2026,Criminology and History with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/criminologyandhistory/#foundationyear,2026-06-22
2026-LMH9-UG,2026,Criminology and Sociology,Undergraduate,Vacancies,LMH9,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/criminologyandsociology/,2026-06-22
2026-criminologyandsociology-FY,2026,Criminology and Sociology with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/criminologyandsociology/#foundationyear,2026-06-22
2026-criminology-FY,2026,Criminology with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/criminology/#foundationyear,2026-06-22
2026-cybersecurity-FY,2026,Cyber Security with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/cybersecurity/#foundationyear,2026-06-22
2026-G420-UG,2026,Data Science,Undergraduate,Vacancies,G420,64 UCAS tariff points,BSc (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/datascience/,2026-06-22
2026-datascience-FY,2026,Data Science with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/datascience/#foundationyear,2026-06-22
2026-P301-UG,2026,Digital Media,Undergraduate,Vacancies,P301,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/digitalmedia/,2026-06-22
2026-P3N5-UG,2026,Digital Media and Marketing,Undergraduate,Vacancies,P3N5,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/digitalmediaandmarketing/,2026-06-22
2026-digitalmediaandmarketing-FY,2026,Digital Media and Marketing with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/digitalmediaandmarketing/#foundationyear,2026-06-22
2026-P4J0-UG,2026,Digital Media and Music Production,Undergraduate,Vacancies,P4J0,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/digitalmediaandmusicproduction/,2026-06-22
2026-digitalmediaandmusicproduction-FY,2026,Digital Media and Music Production with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/digitalmediaandmusicproduction/#foundationyear,2026-06-22
2026-P3L3-UG,2026,Digital Media and Sociology,Undergraduate,Vacancies,P3L3,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/digitalmediaandsociology/,2026-06-22
2026-digitalmediaandsociology-FY,2026,Digital Media and Sociology with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/digitalmediaandsociology/#foundationyear,2026-06-22
2026-digitalmedia-FY,2026,Digital Media with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/digitalmedia/#foundationyear,2026-06-22
2026-C180-UG,2026,Ecology and Conservation,Undergraduate,Vacancies,C180,64 UCAS tariff points,BSc (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/ecologyandconservation/,2026-06-22
2026-ecologyandconservation-FY,2026,Ecology and Conservation with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/ecologyandconservation/#foundationyear,2026-06-22
2026-C181-UG,2026,Ecology and Conservation with Integrated Master's,Undergraduate,Vacancies,C181,64 UCAS tariff points,MSci,Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/ecologyandconservationwithintegratedmasters/,2026-06-22
2026-ecologyandconservationwithintegratedmasters-FY,2026,Ecology and Conservation with Integrated Master's with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/ecologyandconservationwithintegratedmasters/#foundationyear,2026-06-22
2026-LN13-UG,2026,Economics and Finance,Undergraduate,Vacancies,LN13,64 UCAS tariff points,BSc (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/economicsandfinance/,2026-06-22
2026-economicsandfinance-FY,2026,Economics and Finance with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/economicsandfinance/#foundationyear,2026-06-22
2026-LNC5-UG,2026,Economics BA,Undergraduate,Vacancies,LNC5,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/economicsba/,2026-06-22
2026-economicsba-FY,2026,Economics BA with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/economicsba/#foundationyear,2026-06-22
2026-LNC3-UG,2026,Economics BSc,Undergraduate,Vacancies,LNC3,64 UCAS tariff points,BSc (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/economicsbsc/,2026-06-22
2026-economicsbsc-FY,2026,Economics BSc with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/economicsbsc/#foundationyear,2026-06-22
2026-X300-UG,2026,Education,Undergraduate,Vacancies,X300,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/education/,2026-06-22
2026-Q3X3-UG,2026,Education and English,Undergraduate,Vacancies,Q3X3,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/educationandenglish/,2026-06-22
2026-educationandenglish-FY,2026,Education and English with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/educationandenglish/#foundationyear,2026-06-22
2026-LX33-UG,2026,Education and Sociology,Undergraduate,Vacancies,LX33,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/educationandsociology/,2026-06-22
2026-educationandsociology-FY,2026,Education and Sociology with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/educationandsociology/#foundationyear,2026-06-22
2026-education-FY,2026,Education with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/education/#foundationyear,2026-06-22
2026-H600-UG,2026,Electrical and Electronic Engineering,Undergraduate,Vacancies,H600,64 UCAS tariff points,BEng,This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/electricalandelectronicengineering/,2026-06-22
2026-electricalandelectronicengineering-FY,2026,Electrical and Electronic Engineering with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/electricalandelectronicengineering/#foundationyear,2026-06-22
2026-H601-UG,2026,Electrical and Electronic Engineering with Integrated Master's,Undergraduate,Vacancies,H601,64 UCAS tariff points,MEng,This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/electricalandelectronicengineeringwithintegratedmasters/,2026-06-22
2026-electricalandelectronicengineeringwithintegratedmasters-FY,2026,Electrical and Electronic Engineering with Integrated Master's with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/electricalandelectronicengineeringwithintegratedmasters/#foundationyear,2026-06-22
2026-H100-UG,2026,Engineering,Undergraduate,Vacancies,H100,64 UCAS tariff points,BEng,This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/engineering/,2026-06-22
2026-engineering-FY,2026,Engineering with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/engineering/#foundationyear,2026-06-22
2026-H101-UG,2026,Engineering with Integrated Master's,Undergraduate,Vacancies,H101,64 UCAS tariff points,MEng,This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/engineeringwithintegratedmasters/,2026-06-22
2026-engineeringwithintegratedmasters-FY,2026,Engineering with Integrated Master's with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/engineeringwithintegratedmasters/#foundationyear,2026-06-22
2026-Q300-UG,2026,English,Undergraduate,Vacancies,Q300,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/english/,2026-06-22
2026-Q3W8-UG,2026,English and Creative Writing,Undergraduate,Vacancies,Q3W8,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/englishandcreativewriting/,2026-06-22
2026-englishandcreativewriting-FY,2026,English and Creative Writing with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/englishandcreativewriting/#foundationyear,2026-06-22
2026-Q3P3-UG,2026,English and Film Studies,Undergraduate,Vacancies,Q3P3,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/englishandfilmstudies/,2026-06-22
2026-englishandfilmstudies-FY,2026,English and Film Studies with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/englishandfilmstudies/#foundationyear,2026-06-22
2026-Q3V1-UG,2026,English and History,Undergraduate,Vacancies,Q3V1,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/englishandhistory/,2026-06-22
2026-englishandhistory-FY,2026,English and History with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/englishandhistory/#foundationyear,2026-06-22
2026-QV3A-UG,2026,English and Philosophy,Undergraduate,Vacancies,QV3A,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/englishandphilosophy/,2026-06-22
2026-englishandphilosophy-FY,2026,English and Philosophy with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/englishandphilosophy/#foundationyear,2026-06-22
2026-english-FY,2026,English with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/english/#foundationyear,2026-06-22
